question,ground_truth,generated_answer,context,retrieved_indices,f1_per_question
What percentage of Liechtenstein's population is foreign-born?,two-thirds,one third,"Passage 1: Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners.

Passage 2: Liechtensteiners have an average life expectancy at birth of 79.68 years (76.1 years for males; 83.28 years for females). The infant mortality rate is 4.64 deaths per 1,000 live births, according to recent estimates. An estimated 100 percent of the population, age 10 and older, can read and write.  The Programme for International Student Assessment, coordinated by the OECD, currently ranks Liechtenstein's education as the 10th best in the world, being significantly higher than the OECD average.

Passage 3: Liechtenstein participates in a customs union with Switzerland and employs the Swiss franc as national currency. The country imports more than 90% of its energy requirements. Liechtenstein has been a member of the European Economic Area (an organization serving as a bridge between the European Free Trade Association (EFTA) and the European Union) since May 1995 . The government is working to harmonize its economic policies with those of an integrated Europe. Since 2002, Liechtenstein's rate of unemployment has doubled, although it stood at only 2.2% in the third quarter of 2004. Currently, there is only one hospital in Liechtenstein, the Liechtensteinisches Landesspital in Vaduz. The GDP (PPP) is $1.786 billion CIA World Factbook ( link)  and $25,000 per person.","[2855, 2853, 2851]",0.0
Is there an airport in Liechtenstein?,No.,No,"Passage 1: Air: There is no airport in Liechtenstein (the nearest large airport is ZÃ¼rich Airport). There is a small heliport at Balzers in Liechtenstein   available for charter helicopter flights.

Passage 2: Road: There are about 250 kilometres (155 mi) of paved roadway within Liechtenstein.

Passage 3: The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.","[2861, 2857, 2816]",0.0
Is Liechtenstein heavily urbanized?,No.,It is not heavily urbanized,"Passage 1: The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.

Passage 2: As a result of its small size Liechtenstein has been strongly affected by external cultural influences, most notably those originating in the southern German-speaking areas of Europe, including Austria, Bavaria, Switzerland, and Tyrol. The Historical Society of the Principality of Liechtenstein plays a role in preserving the culture and history of the country.

Passage 3: Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners.","[2816, 2863, 2855]",0.0
Is Liechtenstein doubly landlocked?,Yes.,one of only two,"Passage 1: Liechtenstein is one of only two doubly landlocked countries in the worldâbeing a landlocked country wholly surrounded by other landlocked countriesâthe other is Uzbekistan. It is the only country with a predominantly German-speaking population that does not share a border with the Federal Republic of Germany.

Passage 2: The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.

Passage 3: The Liechtenstein dynasty, from which the principality takes its name (rather than vice-versa), comes from Castle Liechtenstein in faraway Lower Austria, which the family possessed from at least 1140 to the thirteenth century, and from 1807 onward. Through the centuries, the dynasty acquired vast swathes of land, predominantly in Moravia, Lower Austria, Silesia, and Styria, though in all cases, these territories were held in fief under other more senior feudal lords, particularly under various lines of the Habsburg family, to whom several Liechtenstein princes served as close advisors. Thus, and without any territory held directly under the Imperial throne, the Liechtenstein dynasty was unable to meet a primary requirement to qualify for a seat in the Imperial diet, the Reichstag.","[2845, 2816, 2818]",0.0
Does Liechtenstein have an army?,No.,no,"Passage 1: Liechtenstein is one of the few countries in the world to have no army; defense is the responsibility of Switzerland.

Passage 2: The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.

Passage 3: Liechtenstein is one of only two doubly landlocked countries in the worldâbeing a landlocked country wholly surrounded by other landlocked countriesâthe other is Uzbekistan. It is the only country with a predominantly German-speaking population that does not share a border with the Federal Republic of Germany.","[2873, 2816, 2845]",0.0
When was Liechtenstein's current constitution adopted?,October 1921.,October 1921,"Passage 1: Liechtenstein's current constitution was adopted in October 1921. It established in Liechtenstein a constitutional monarchy ruled by the reigning prince of the Princely House of Liechtenstein. It also established a parliamentary system, although the reigning prince retained substantial political authority.

Passage 2: Note: In March 2003 the results of a national referendum showed that nearly two-thirds of Liechtenstein's electorate agreed to vote in support of Hans-Adam II's proposal of a renewed constitution which replaced the version of 1921. The implications of the referendum, the actual changes to the governance of Liechtenstein, and the repercussions of the vote in the wider context of Europe, are yet unknown.

Passage 3: Then, in 1818, Johann I granted a constitution, although it was limited in its nature. 1818 also saw the first visit of a member of the house of Liechtenstein, Prince Alois, however, the first visit by a sovereign prince would not occur until 1842.","[2834, 2839, 2824]",0.5
What is the official language of Liechtenstein?,German.,German,"Passage 1: Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners.

Passage 2: Liechtenstein's current constitution was adopted in October 1921. It established in Liechtenstein a constitutional monarchy ruled by the reigning prince of the Princely House of Liechtenstein. It also established a parliamentary system, although the reigning prince retained substantial political authority.

Passage 3: The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.","[2855, 2834, 2816]",0.0
What countries border Liechtenstein?,Switzerland and Austria.,Switzerland and Austria,"Passage 1: Liechtenstein is one of only two doubly landlocked countries in the worldâbeing a landlocked country wholly surrounded by other landlocked countriesâthe other is Uzbekistan. It is the only country with a predominantly German-speaking population that does not share a border with the Federal Republic of Germany.

Passage 2: New surveys of the country's borders in 2006  have set its area at 160.475 square kilometres, with borders of 77.9 km.  ""Tiny Liechtenstein gets a little bigger,"" December 29, 2006  Thus, Liechtenstein discovered in 2006 that its borders are 1.9 km (1.2 miles) longer than previously thought as more modern measuring methods have been introduced and they measure more accurately the borders in mountainous regions.  Liechtenstein redraws Europe map, BBC News, December 28 2006

Passage 3: The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.","[2845, 2844, 2816]",0.6666666666666666
What Roman province was Liechtenstein part of?,Raetia.,Raetia,"Passage 1: At one time, the territory of Liechtenstein formed a part of the ancient Roman province of Raetia. For centuries this territory, geographically removed from European strategic interests, had little impact on the tide of European history. Prior to the reign of its current dynasty, the region was enfeoffed to a line of the counts of Hohenems.

Passage 2: The principality of Liechtenstein is divided into 11 municipalities called gemeinden (singular gemeinde). The gemeinden mostly consist only of a single town. Five of them fall within the electoral district Unterland (the lower county), and the remainder within Oberland (the upper county).

Passage 3: The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.","[2817, 2841, 2816]",0.0
How many municipalities are within Oberland?,6.,103,"Passage 1: There are 25 cities with a population of at least 100,000. Until now, several of the largest cities have a metropolitan area: ConstanÅ£a (550,000 people), BraÅov, IaÅi (both with around 400,000) and Oradea (260,000) and several others are planned: TimiÅoara (400,000), Cluj-Napoca (400,000), GalaÅ£i-Braila (600,000), Craiova (370,000), Bacau and PloieÅti.    ""Map of Romanian municipalities that can have metorpolitan areas in maroon""

Passage 2: The country is further subdivided into 319 cities and 2686 communes (rural localities).     Communes and towns have their own local councils and are headed by a mayor (primar). Out of these, 103 of the larger and more urbanised towns have the status of municipality, which gives them greater administrative power over local affairs.

Passage 3: Municipalities and regions map of Finland (2007).","[3109, 3147, 1602]",0.0
What is the smallest German-speaking country in the world?,Liechtenstein,Principality of Liechtenstein,"Passage 1: Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners.

Passage 2: The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.

Passage 3: Liechtenstein is the sixth-smallest independent nation in the world, by land area. The five independent countries smaller than Liechtenstein are Vatican City, Monaco, Nauru, Tuvalu, and San Marino. See List of countries and outlying territories by total area.","[2855, 2816, 2846]",0.5
"The Savings and Loans Bank was founded, as was the first cotton-weaving mill in what year?",1861,1861,"Passage 1: Liechtenstein also had many advances in the nineteenth century, as in 1836, the first factory was opened, making ceramics. In 1861, the Savings and Loans Bank was founded, as was the first cotton-weaving mill. Two bridges over the Rhine were built in 1868, and in 1872 a railway line across Liechtenstein was constructed.

Passage 2: Lincoln believed in the Whig theory of the presidency, which left Congress to write the laws while he signed them, vetoing only those bills that threatened his war powers. Thus, he signed the Homestead Act in 1862, making millions of acres of government-held land in the West available for purchase at very low cost. The Morrill Land-Grant Colleges Act, also signed in 1862, provided government grants for agricultural universities in each state. The Pacific Railway Acts of 1862 and 1864 granted federal support for the construction of the United States' First Transcontinental Railroad, which was completed in 1869. Other important legislation involved economic matters, including the first income tax and higher tariffs. Also included was the creation of the system of national banks by the National Banking Acts of 1863, 1864, and 1865, which allowed the creation of a strong national financial system.  Congress created and Lincoln approved the Department of Agriculture in 1862, although that institution would not become a Cabinet-level department until 1889.

Passage 3: A series of programs were targeted at farmers. The ""Smith Lever"" act of 1914 created the modern system of agricultural extension agents sponsored by the state agricultural colleges.  The agents taught new techniques to farmers. The 1916 ""Federal Farm Loan Board"" issued low-cost long-term mortgages to farmers.","[2825, 360, 2160]",1.0
What enjoys one of the world's highest standards of living?,Liechtenstein's population,The country's population,"Passage 1: Singapore has been rated as the most business-friendly economy in the world, with thousands of foreign expatriates working in multi-national corporations.    The city-state also employs tens of thousands of foreign blue-collared workers from around the world.

Passage 2: Since independence, Singapore's standard of living has increased progressively. A state-led industrialization drive, aided by foreign direct  investment has created a modern economy based on electronics manufacturing, petrochemicals, tourism and financial services alongside the traditional entrepÃ´t trade. Singapore is the 17th wealthiest country in the world in terms of GDP per capita.  

Passage 3: The Prince of Liechtenstein is the world's sixth wealthiest with an estimated wealth of $4 billion. The country's population enjoys one of the world's highest standards of living.","[2736, 2701, 2832]",0.4
Does the state court rule on the conformity of laws?,Yes,Yes,"Passage 1: Judicial authority is vested in the Regional Court at Vaduz, the Princely High Court of Appeal at Vaduz, the Princely Supreme Court, the Administrative Court, and the State Court. The State Court rules on the conformity of laws with the constitution. The State Court has five members elected by the parliament.

Passage 2: ;Government and law

Passage 3: Economy and law links","[2838, 2364, 3160]",1.0
What do most recognizable international company and largest employer have in common?,They are Hilti.,Hilti,"Passage 1: Liechtenstein's most recognizable international company and largest employer is Hilti, a manufacturer of concrete fastening systems. Liechtenstein also is the home of the Curta calculator.

Passage 2: Singapore has been rated as the most business-friendly economy in the world, with thousands of foreign expatriates working in multi-national corporations.    The city-state also employs tens of thousands of foreign blue-collared workers from around the world.

Passage 3: Notable Finnish companies include Nokia, the market leader in mobile telephony; Stora Enso, the largest paper manufacturer in the world; Neste Oil, an oil refining and marketing company; UPM-Kymmene, the third largest paper manufacturer in the world; Aker Finnyards, the manufacturer of the world's largest cruise ships (such as Royal Caribbean's Freedom of the Seas); KONE, a manufacturer of elevators and escalators; WÃ¤rtsilÃ¤, a producer of power plants and ship engines; and Finnair, the country's international airline.","[2852, 2736, 1661]",0.0
Was Liechtenstein completed in November 2000?,No,No,"Passage 1: Liechtenstein's current constitution was adopted in October 1921. It established in Liechtenstein a constitutional monarchy ruled by the reigning prince of the Princely House of Liechtenstein. It also established a parliamentary system, although the reigning prince retained substantial political authority.

Passage 2: Note: In March 2003 the results of a national referendum showed that nearly two-thirds of Liechtenstein's electorate agreed to vote in support of Hans-Adam II's proposal of a renewed constitution which replaced the version of 1921. The implications of the referendum, the actual changes to the governance of Liechtenstein, and the repercussions of the vote in the wider context of Europe, are yet unknown.

Passage 3: Soon afterward, Liechtenstein joined the German Confederation (June 20 1815 â August 24 1866, which was presided over by the Emperor of Austria).","[2834, 2839, 2823]",1.0
What completed in November?,the Kunstmuseum Liechtenstein,the John F. Kennedy Library,"Passage 1: An academic conference on Coolidge was held July 30â31, 1998, at the John F. Kennedy Library to mark the 75th anniversary of his lantern-light homestead inaugural.

Passage 2: and issued its first coins and notes.   

Passage 3: Retrieved March 7 2006.","[472, 2746, 3005]",0.25
The State Court rules what?,on the conformity of laws with the constitution,conformity of laws with the constitution,"Passage 1: Most civil disputes appear before a State Court; appeals are heard before the High Court. The Supreme Court is the country's highest court, and hears final cassation appeals and conducts case reviews. Other courts include the Commercial Court, which handles bankruptcy and insolvency; a State Administrative Court to hear administrative law cases against the government; a Constitutional Court to hear disputes concerning legality of law, general elections, dissolution of political parties, and the scope of authority of state institutions; and a Religious Court to deal with specific religious cases.

Passage 2: Judicial authority is vested in the Regional Court at Vaduz, the Princely High Court of Appeal at Vaduz, the Princely Supreme Court, the Administrative Court, and the State Court. The State Court rules on the conformity of laws with the constitution. The State Court has five members elected by the parliament.

Passage 3: ;Government and law","[776, 2838, 2364]",0.8571428571428571
The Historical Society of the Principality of Liechtenstein plays what?,a role in preserving the culture and history of the country.,preserving the culture and history of the country,"Passage 1: As a result of its small size Liechtenstein has been strongly affected by external cultural influences, most notably those originating in the southern German-speaking areas of Europe, including Austria, Bavaria, Switzerland, and Tyrol. The Historical Society of the Principality of Liechtenstein plays a role in preserving the culture and history of the country.

Passage 2: Liechtenstein's current constitution was adopted in October 1921. It established in Liechtenstein a constitutional monarchy ruled by the reigning prince of the Princely House of Liechtenstein. It also established a parliamentary system, although the reigning prince retained substantial political authority.

Passage 3: The principality of Liechtenstein is divided into 11 municipalities called gemeinden (singular gemeinde). The gemeinden mostly consist only of a single town. Five of them fall within the electoral district Unterland (the lower county), and the remainder within Oberland (the upper county).","[2863, 2834, 2841]",0.631578947368421
Is the museum collection also the national art collection of Liechtenstein ?,Yes,The other important museum is the Liechtenstein National Museum,"Passage 1: The other important museum is the Liechtenstein National Museum (Liechtensteinisches Landesmuseum) showing permanent exhibition on the cultural and natural history of Liechtenstein as well as special exhibitions. There are also a Stamp and a Ski Museum.

Passage 2: The Private Art Collection of the Prince of Liechtenstein, one of the world's leading private art collections, is shown at the Liechtenstein Museum in Vienna.

Passage 3: The Kunstmuseum Liechtenstein is the museum of modern and contemporary art in Vaduz and the national gallery of the Principality of Liechtenstein.","[2865, 2868, 2862]",0.0
Is there a small heliport at Balzers in Liechtenstein available for charter helicopter flights ?,Yes,There is a small heliport at Balzers in Liechtenstein,"Passage 1: Air: There is no airport in Liechtenstein (the nearest large airport is ZÃ¼rich Airport). There is a small heliport at Balzers in Liechtenstein   available for charter helicopter flights.

Passage 2: The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.

Passage 3: The other important museum is the Liechtenstein National Museum (Liechtensteinisches Landesmuseum) showing permanent exhibition on the cultural and natural history of Liechtenstein as well as special exhibitions. There are also a Stamp and a Ski Museum.","[2861, 2816, 2865]",0.0
Are nationals referred to by the plural : Liechtensteiners ?,Yes,Liechtensteiners,"Passage 1: Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners.

Passage 2: The principality of Liechtenstein is divided into 11 municipalities called gemeinden (singular gemeinde). The gemeinden mostly consist only of a single town. Five of them fall within the electoral district Unterland (the lower county), and the remainder within Oberland (the upper county).

Passage 3: Liechtenstein is one of only two doubly landlocked countries in the worldâbeing a landlocked country wholly surrounded by other landlocked countriesâthe other is Uzbekistan. It is the only country with a predominantly German-speaking population that does not share a border with the Federal Republic of Germany.","[2855, 2841, 2845]",0.0
"Is it a winter sports resort , although it is perhaps best known as a tax haven ?",Yes,yes,"Passage 1: The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.

Passage 2: ; Tourism

Passage 3: Although many tourists visit for the ideal weather during the summer, winter also attracts hundreds of thousands for its Christmas festivities and winter sports and activities such as skiing, dog sledding and Nordic walking. Finland is regarded as the home of Saint Nicholas or Santa Claus. Santaâs Post Office is also located in Finland, up in the northern Lapland region. Above the Arctic Circle, there is a polar night, a period when the sun doesn't rise for days or weeks, or even months. Lapland, the extreme north of Finland, is so far north that the Aurora Borealis, atmospheric fluorescence, is seen regularly in winter. This exquisite spectacle draws people from around the globe, particularly from Japan.","[2816, 1373, 1671]",1.0
Is it a winter sports resort?,Yes,yes,"Passage 1: Although many tourists visit for the ideal weather during the summer, winter also attracts hundreds of thousands for its Christmas festivities and winter sports and activities such as skiing, dog sledding and Nordic walking. Finland is regarded as the home of Saint Nicholas or Santa Claus. Santaâs Post Office is also located in Finland, up in the northern Lapland region. Above the Arctic Circle, there is a polar night, a period when the sun doesn't rise for days or weeks, or even months. Lapland, the extreme north of Finland, is so far north that the Aurora Borealis, atmospheric fluorescence, is seen regularly in winter. This exquisite spectacle draws people from around the globe, particularly from Japan.

Passage 2: Some of the most popular recreational sports and activities include floorball, Nordic walking, running and skiing.

Passage 3: Canada has hosted several high-profile international sporting events, including the 1976 Summer Olympics, the 1988 Winter Olympics, and the 2007 FIFA U-20 World Cup. Canada will be the host country for the 2010 Winter Olympics in Vancouver and Whistler, British Columbia.","[1671, 1716, 2355]",1.0
Is it the smallest german-speaking country in the world?,Yes,Yes,"Passage 1: Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners.

Passage 2: The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.

Passage 3: Liechtenstein is the sixth-smallest independent nation in the world, by land area. The five independent countries smaller than Liechtenstein are Vatican City, Monaco, Nauru, Tuvalu, and San Marino. See List of countries and outlying territories by total area.","[2855, 2816, 2846]",1.0
"What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?",The Liechtenstein Dynasty acquired vast swaths of land,"Until the end of World War I, Liechtenstein first was closely tied to the Austrian Empire and later, to Austria-Hungary; however, the economic devastation caused by WWI forced the country to conclude a","Passage 1: The Liechtenstein dynasty, from which the principality takes its name (rather than vice-versa), comes from Castle Liechtenstein in faraway Lower Austria, which the family possessed from at least 1140 to the thirteenth century, and from 1807 onward. Through the centuries, the dynasty acquired vast swathes of land, predominantly in Moravia, Lower Austria, Silesia, and Styria, though in all cases, these territories were held in fief under other more senior feudal lords, particularly under various lines of the Habsburg family, to whom several Liechtenstein princes served as close advisors. Thus, and without any territory held directly under the Imperial throne, the Liechtenstein dynasty was unable to meet a primary requirement to qualify for a seat in the Imperial diet, the Reichstag.

Passage 2: Until the end of World War I, Liechtenstein first was closely tied to the Austrian Empire and later, to Austria-Hungary; however, the economic devastation caused by WWI forced the country to conclude a customs and monetary union with its other neighbor, Switzerland. (Their Army had been disbanded in 1868, out of financial considerations.) At the time of the dissolution of the Austro-Hungarian Empire, it was argued that Liechtenstein as a fief of the Holy Roman Empire (supposedly still incarnated in Liechtensteiner eyes at an abstract level in the person of the then-dethroned Austro-Hungarian Emperor, despite its formal dissolution in 1806) was no longer bound to Austria, then emerging as an independent state, which did not consider itself as the legal successor to the Empire. Liechtenstein is thus the last independent state in Europe which can claim an element of continuity from the Holy Roman Empire.

Passage 3: At one time, the territory of Liechtenstein formed a part of the ancient Roman province of Raetia. For centuries this territory, geographically removed from European strategic interests, had little impact on the tide of European history. Prior to the reign of its current dynasty, the region was enfeoffed to a line of the counts of Hohenems.","[2818, 2827, 2817]",0.14634146341463414
"Did Webster write, ""I can now sleep of nights""?",Yes.,yes,"Passage 1: Each measure obtained a majority, and, by September 20, President Fillmore had signed them into law. Webster wrote, ""I can now sleep of nights.""

Passage 2: *Grant, Ulysses S.,  Personal Memoirs of U. S. Grant, Charles L. Webster & Company, 1885 86, ISBN 0-914427-67-9.

Passage 3: * Hannaford, Peter, The Quotable Calvin Coolidge (2001), ISBN 1884592333.","[171, 1878, 465]",0.0
Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency?,Yes,yes,"Passage 1: Another issue that presented itself during Fillmore's presidency was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution). Kossuth wanted the United States to abandon its non-intervention policies when it came to European affairs and recognize Hungaryâs independence. The problem came with the enormous support Kossuth received from German-American immigrants to the United States (who were essential in the re-election of both Whigs and Democrats). Fillmore refused to change American policy, and decided to remain neutral despite the political implications that neutrality would produce.

Passage 2: *Fillmore is the first of two presidents to have been an indentured servant. He was a clothmaker.

Passage 3: Throughout the Civil War, Fillmore opposed President Lincoln and during Reconstruction supported President Johnson. He commanded the Union Continentals, a corps of home guards of males over the age of 45 from the Upstate New York area, during the Civil War.","[174, 200, 186]",1.0
"Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?",Yes,yes,"Passage 1: He died at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke.  His last words were alleged to be, upon being fed some soup, ""the nourishment is palatable.""  On January 7 each year, a ceremony is held at his grave site in the Forest Lawn Cemetery in Buffalo.

Passage 2: Cleveland died in 1908 from a heart attack with his wife at his side. He is buried in the Princeton Cemetery of the Nassau Presbyterian Church.

Passage 3: An autopsy performed after his death revealed grave problems with his stomach and other organs of his abdomen, along with damage to his brain. Despite the autopsy, the cause of his continual poor health was never precisely determined, though speculation focuses on tuberculosis, stomach cancer, or a combination of the two. Muir, 103.  The headaches which afflicted Pascal are generally attributed to his brain lesion.","[187, 524, 262]",1.0
Who got Seward elected to the senate?,Weed,Thurlow Weed,"Passage 1: Fillmore was also selected in part to block New York state machine boss Thurlow Weed from receiving the vice presidential nomination (and his front man William H. Seward from receiving a position in Taylor's cabinet). Weed ultimately got Seward elected to the senate. This competition between Seward and Fillmore led to Seward's becoming a more vocal part of cabinet meetings and having more of a voice than Fillmore in advising the administration. The battle would continue even after Taylor's death.

Passage 2: Fillmore presided over the Senate during the months of nerve-wracking debates over the Compromise of 1850. During one debate, Senator Henry S. Foote of Mississippi pulled a pistol on Senator Thomas Hart Benton of Missouri. Fillmore made no public comment on the merits of the compromise proposals, but a few days before President Taylor's death, Fillmore suggested to the president that, should there be a tie vote on Henry Clay's bill, he would vote in favor of the North.

Passage 3: Calvin Coolidge as a young legislator","[158, 160, 412]",0.6666666666666666
Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,Japan,Japan,"Passage 1: Another important legacy of Fillmore's administration was the sending of Commodore Matthew C. Perry to open Japan to Western trade, though Perry did not reach Japan until Franklin Pierce had replaced Fillmore as president.

Passage 2: When the real Great White Fleet sailed into Yokahama, Japan, the Japanese went to extraordinary lengths to show that their country desired peace with the US. Thousands of Japanese school children waved American flags, purchased by the government, as they greeted the Navy brass coming ashore. In February 1909, the fleet returned home to Hampton Roads, Virginia, and Roosevelt was there to witness the triumphant return. His appearance indicated that he saw the fleet's long voyage as a fitting finish for his administration. Roosevelt said to the officers of the Fleet, ""Other nations may do what you have done, but they'll have to follow you.""  This parting act of grand strategy by Roosevelt greatly expanded the respect for, as well as the role of, the United States in the international arena.  However, the visit of the Great White Fleet to Tokyo also encouraged Japanese militarists. They had always argued for an even more aggressive Japanese ship building and naval expansion program, and the recent show of force by the U.S. convinced enough of their countrymen that they were right. In a real sense, this set in motion the chain of events leading to the U.S. & Japan confronting each other 30 years later - during WWII.

Passage 3: The Port of Singapore with Sentosa island in the background.","[175, 2948, 2801]",1.0
What is The Remarkable Millard Fillmore?,A fake biography based on real events that happened in Fillmore's life.,postage stamp,"Passage 1: Millard Fillmore postage stamp

Passage 2: *Queen Victoria said that Millard Fillmore was the handsomest man she'd ever seen.

Passage 3: *Fillmore is the first of two presidents to have been an indentured servant. He was a clothmaker.","[194, 196, 200]",0.0
