question,rewritten_question,ground_truth,generated_answer,context,distance,confidence,retrieved_index
Did John Adams get along with Alexander Hamilton?,Did John Adams and Alexander Hamilton have a good relationship?,No.,Information not found in context,"Adams, a sponsor of the American Revolution in Massachusetts, was a driving force for independence in 1776; Jefferson called him the ""Colossus of Independence"". He represented the Continental Congress in Europe. He was a major negotiator of the eventual peace treaty with Great Britain, and chiefly responsible for obtaining the loans from the Amsterdam money market necessary for the conduct of the Revolution. His prestige secured his two elections as Washington's Vice President and his election to succeed him.   As President, he was frustrated by battles inside his own Federalist party against a faction led by Alexander Hamilton, but he broke with them to avert a major conflict with France in 1798, during the Quasi-War crisis. He became the founder of an important family of politicians, diplomats and historians, and in recent years his reputation has improved.",0.814274,low,636
Did John Adams go to Harvard? ,Did John Adams go to Harvard?,yes,Information not found in context,"Birthplace of John Adams, Quincy, Massachusetts.",0.82062155,low,637
Did John Adams support the Stamp Act of 1765?,Did John Adams support the Stamp Act of 1765?,No,no,"Adams first rose to prominence as an opponent of the Stamp Act of 1765. In that year, he drafted the instructions which were sent by the inhabitants of Braintree to its representatives in the Massachusetts legislature, and which served as a model for other towns to draw up instructions to their representatives. In August 1765, he anonymously contributed four notable articles to the Boston Gazette (republished in The London Chronicle in 1768 as True Sentiments of America and also known as A Dissertation on the Canon and Feudal Law).  In the letter he suggested that there was a connection between the Protestant ideas that Adams' Puritan ancestors brought to New England and the ideas that suggested they resist the Stamp Act.  In the former he explained that the opposition of the colonies to the Stamp Act was because the Stamp Act deprived the American colonists of two basic rights guaranteed to all Englishmen, and which all free men deserved: rights to be taxed only by consent and to be tried only by a jury of one's peers.  The ""Braintree Instructions"" were a succinct and forthright defense of colonial rights and liberties, while the Dissertation was an essay in political education.",0.63776255,high,644
Is Adams' birthplace part of a national park?,Is Adams' birthplace part of a national park?,yes,Information not found in context,"Birthplace of John Adams, Quincy, Massachusetts.",0.78492075,low,637
When did John Adams serve as Vice President?,When did John Adams serve as Vice President?,1789-1797,1789 1797,"John Adams, Jr. (October 30,1735   July 4, 1826)  was the second President of the United States (1797 1801). He also served as America's first Vice President (1789 1797). He was defeated for re-election in the ""Revolution of 1800"" by Thomas Jefferson. Adams was also the first President to reside in the newly built White House in Washington, D.C., which was completed in 1800.",0.6303467,high,635
With what party did Adams run for presidency?,What party did Adams run for president?,The Federalist Party,Republicans,"As was customary, Adams stayed in his home town of Quincy rather than actively campaign for the Presidency.  He wanted to stay out of what he called the silly and wicked game. His party, however, campaigned for him, while the Republicans campaigned for Jefferson.",0.65808785,high,676
Where is Adams buried?,Where is Adams buried?,United First Parish Church,New York City,"*  Adams Family Papers: An electronic archive Captured December 16, 2004.",0.752592,high,721
Who were the midnight judges?,Who were the midnight judges?,"They were a series of judges, so called because most of them were formally appointed days before Adams' presidential term expired",Information not found in context,"As his term was expiring, Adams appointed a series of judges, called the ""Midnight Judges"" because most of them were formally appointed days before the presidential term expired. Most of the judges were eventually unseated when the Jeffersonians abolished their offices. But John Marshall remained, and his long tenure as Chief Justice of the United States represents the most lasting influence of the Federalists, as Marshall refashioned the Constitution into a nationalizing force and established the Judicial Branch as the equal of the Executive and Legislative branches. Ferling (1992) p 409",1.0277615,low,692
In what ways was Adams opposed by Anderw Hamilton?,In what ways was Adams opposed by Anderw Hamilton?,Hamilton wanted to control the army differently than Adams,lacked the seriousness and popularity that had caused Washington to be successful,"During the presidential campaign of 1796 Adams was the presidential candidate of the Federalist Party and Thomas Pinckney, the Governor of South Carolina, his running mate. The federalists wanted Adams as their presidential candidate to crush Thomas Jefferson's bid. Most federalists would have preferred Hamilton to be a candidate.  Although Hamilton and his followers supported Adams, they also held a grudge against him.  They did consider him to be the lesser of the two evils. However, they thought Adams lacked the seriousness and popularity that had caused Washington to be successful, and also feared that Adams was too vain, opinionated, unpredictable, and stubborn to follow their directions.  Adams' opponents were former Secretary of State Thomas Jefferson of Virginia, who was joined by Senator Aaron Burr of New York on the Democratic-Republican ticket.",0.7728653,high,675
What information did he record in his diary?,What information did he record in his diary?,Descriptions of events and ompressions of men,Information not found in context,Grant writing his memoirs.,1.1079309,low,1843
Who was defeated for re-election in the`` Revolution of 1800'' by Thomas Jefferson?,Who was defeated for re-election in the Revolution of 1800?,John Adams,Information not found in context,"* Ferling, John. Adams vs. Jefferson: The Tumultuous Election of 1800. (2004), narrative history of the election .",0.8467665,low,709
Who represented the Continental Congress in Europe?,Who represented the Continental Congress in Europe?,John Adams,Information not found in context,"On May 15, 1776 the Continental Congress, in response to escalating hostilities which had climaxed a year prior at Lexington and Concord, urged that the states begin constructing their own constitutions.",1.0842448,low,652
What is now part of Adams National Historical Park?,What is now part of Adams National Historical Park?,John Adams' birthplace,Information not found in context,"*  Adams Family Papers: An electronic archive Captured December 16, 2004.",1.0532371,low,721
Is it true that adams had spent some time as the ambassador?,Is it true that Adams had spent some time as the ambassador?,yes,Information not found in context,"In 1785, John Adams was appointed the first American minister to the Court of St. James's (that is, ambassador to Great Britain). When he was presented to his former sovereign, George III, the King intimated that he was aware of Adams's lack of confidence in the French government. Adams admitted this, stating: ""I must avow to your Majesty that I have no attachment but to my own country.â",0.8300483,low,664
Is it true that massachuS08_setts sent him in 1774?,Is it true that massachuS08_setts sent him in 1774?,yes,Information not found in context,"Adams wanted to secure approval from the people, and he saw his chance in the British/colonial conflict. He became well known for his essays and energetic resolutions against British taxation and regulation. In 1774 Massachusetts sent him to the Continental Congress. In 1775 war broke out between the colonies and Great Britain. Adams was one of the first few delegates to recognize that a compromise with the British was pointless. In 1776 he worked hard to break away from Britain by using a formal declaration of independence. On July 2, 1776 Congress voted for the resolution, ""these colonies are and of right ought to be free and independent states.""  Two days later, they passed the Declaration of Independence.",1.1159176,low,642
Who did MassachuS08_setts send in 1774?,Who did Massachu S08_setts send in 1774?,John Adams,Information not found in context,"The Queen and the Registrar General signing the Constitution Act, 1982.",1.1556756,low,2295
"Are his last words often quoted as "" Thomas Jefferson survives "" . ?","Are his last words often quoted as "" Thomas Jefferson survives "" . ?",yes,Information not found in context,"On July 4, 1826, the 50th anniversary of the adoption of the Declaration of Independence, Adams died at his home in Quincy. His last words are often quoted as ""Thomas Jefferson survives."" Only the words ""Thomas Jefferson"" were clearly intelligible among his last, however.  Jefferson Still Survives. Retrieved on 2006-12-26.  Adams was unaware that Jefferson, his great political rival â and later friend and correspondent â had died a few hours earlier on that same day.United First Parish Church The fact that Adams and Jefferson, both of whom had been so instrumental in creating the Declaration of Independence, died on the fiftieth anniversary of the date of its publication, is one of the more remarkable coincidences in history.",0.8760474,low,700
"The John Adams Library , housed at the Boston Public Library , contains what?",The John Adams Library is located in what city?,"Adams's personal collection of more than 3,500 volumes",Boston,"* The  John Adams Library, housed at the Boston Public Library, contains Adams's personal collection of more than 3,500 volumes in eight languages, many of which are extensively annotated by Adams.",0.6639161,high,722
Adams ' opponents were what?,Who were the opponents of Adams?,Democratic Republicans,Information not found in context,"In the election of 1800 John Adams and his running mate, Charles Cotesworth Pinckney went against the Republican duo of Jefferson and Burr. Hamilton tried his hardest to sabotage Adams campaign in hopes of boosting Pinckney's chances of winning the presidency. In the end, Adams lost narrowly to Jefferson by 65 to 73 electoral votes.",0.82185733,low,691
"Did the election of 1800 not become a bitter and volatile battle , with each side expressing extraordinary fear of the other party and its policies ?","Did the election of 1800 not become a bitter and volatile battle , with each side expressing extraordinary fear of the other party ?",No.,Information not found in context,"* Ferling, John. Adams vs. Jefferson: The Tumultuous Election of 1800. (2004), narrative history of the election .",0.81759083,low,709
What happened in 1764?,What happened in 1764?,Adams married Abigail Smith,Information not found in context,"In 1764, Adams married Abigail Smith (1744â1818), the daughter of a Congregational minister,Rev. William Smith, at Weymouth, Massachusetts. Their children were Abigail (1765-1813); future president John Quincy (1767-1848); Susanna (1768â1770); Charles (1770-1800); Thomas Boylston (1772-1832); and Elizabeth (1775) who was stillborn.",1.1544014,low,640
Is a kangaroo a reptile?,Is a kangaroo a reptile?,no,yes,There are four species that are commonly referred to as kangaroos:,0.7028647,high,1728
Is a kangaroo on the Australian coat of arms?,Is a kangaroo on the Australian coat of arms?,yes,yes,"The kangaroo is an Australian icon: it is featured on the Australian coat of arms,  Australia's coat of arms URL accessed January 6, 2007.  on some of its currency,  The Australian currency URL accessed January 6, 2007.  and is used by many Australian organisations, including Qantas.  The Kangaroo symbol URL accessed January 6, 2007.",0.5203768,high,1723
"Was James Cook the first to record the name ""Kangooroo?""","Was James Cook the first person to record the name ""Kangooroo""?",yes,Information not found in context,"The word kangaroo derives from the Guugu Yimidhirr word gangurru, referring to a grey kangaroo.  Etymology of mammal names URL accessed January 7, 2007.  The name was first recorded as ""Kangooroo or Kanguru"" on 4 August,1770, by Lieutenant (later Captain) James Cook on the banks of the Endeavour River at the site of modern Cooktown, when HM Bark Endeavour was beached for almost seven weeks to repair damage sustained on the Great Barrier Reef.",0.83770823,low,1724
What is a collective noun for kangaroos?,What is a collective noun for kangaroos?,"mob, troop, or court",a mob,"Kangaroo soon became adopted into standard English where it has come to mean any member of the family of kangaroos and wallabies.  Male kangaroos are called bucks, boomers, jacks, or old men; females are does, flyers, or jills, and the young ones are joeys.  Animal Bytes: Kangaroo and Wallaby URL accessed January 7, 2007.  The collective noun for kangaroos is a mob, troop, or court. Kangaroos are sometimes colloquially referred to as roos.",0.69598925,high,1726
Where do joeys complete postnatal development?,Where do Joeys complete postnatal development?,marsupium,Information not found in context,"Kangaroos have developed a number of adaptations to a dry, infertile continent and highly variable climate. As with all marsupials, the young are born at a very early stage of development   after a gestation of 31 36 days. At this stage, only the forelimbs are somewhat developed, to allow the newborn to climb to the pouch and attach to a teat. In comparison, a human embryo at a similar stage of development would be about seven weeks old, and premature babies born at less than 23 weeks are usually not mature enough to survive. The joey will usually stay in the pouch for about nine months (180 320 days for the Western Grey) before starting to leave the pouch for small periods of time. It is usually fed by its mother until reaching 18 months.",0.93096346,low,1747
"What do kangaroos use for ""crawl-walking?""","What do kangaroos use for ""crawling""?",its hind feet,its forepaws,"Along with dingos and other canids, introduced species like foxes and feral cats also pose a threat to kangaroo populations. Kangaroos and wallabies are adept swimmers, and often flee into waterways if presented with the option. If pursued into the water, a large kangaroo may use its forepaws to hold the predator underwater so as to drown it.  Canadian Museum of Nature - Kangaroo URL accessed January 6, 2007.  Another defensive tactic described by witnesses is catching the attacking dog  with the forepaws and disembowelling it with the hind legs.",0.7283077,high,1745
Why do kangaroos have a wide bite?,Why do kangaroos have a wide bite?,The two sides of the lower jaw are not joined together and the lower incisors are farther apart.,Because of its grazing,"Because of its grazing, kangaroos have developed specialized teeth. Its incisors are able to crop grass close to the ground, and its molars chop and grind the grass. Since the two sides of the lower jaw are not joined together, the lower incisors are farther apart, giving the kangaroo a wider bite. The silica in grass is abrasive, so kangaroo molars move forward as they are ground down, and eventually fall out, replaced by new teeth that grow in the back.",0.5783274,high,1741
What is responsible for converting the hydrogen byproduct of fermentation into acetate?,What is responsible for converting the hydrogen byproduct of fermentation into acetate?,bacteria,Information not found in context,"Despite having a herbivorous diet similar to ruminants such as cattle which release large quantities of methane through exhaling and eructation, kangaroos release virtually none. The hydrogen byproduct of fermentation is instead converted into acetate, which is then used to provide further energy. Scientists are interested in the possibility of transferring the bacteria responsible from kangaroos to cattle, since the greenhouse gas effect of methane is 23 times greater than that of carbon dioxide.  Radio Australia - Innovations: ",1.138205,low,1742
Are wild kangaroos shot for meat?,Are wild kangaroos shot for meat?,yes,yes,"In general, larger kangaroos have adapted much better to changes wrought to the Australian landscape by humans and though many of their smaller cousins are endangered, they are plentiful. They are not farmed to any extent, but wild kangaroos are shot for meat, over which there is controversy.  Steve Dow: ""An industry that's under the gun"". Sydney Morning Herald online, September 26, 2007.",0.4908197,high,1722
Have kangaroos fared well since European S08_settlement?,Have kangaroos fared well since European S08_settlement?,yes,have fared well since European settlement,"Unlike many of the smaller macropods, kangaroos have fared well since European settlement. European settlers cut down forests to create vast grasslands for sheep and cattle grazing, added stock watering points in arid areas, and have substantially reduced the number of dingoes.",0.5218515,high,1755
Do kangaroos have many natural predators?,Do kangaroos have many natural predators?,no,no,"Kangaroos have few natural predators. The Thylacine, considered by palaeontologists to have once been a major natural predator of the kangaroo, is now extinct. Other extinct predators included the Marsupial Lion, Megalania and the Wonambi. However, with the arrival of humans in Australia at least 50,000 years ago and the introduction of the dingo about 5,000 years ago, kangaroos have had to adapt.   The mere barking of a dog can set a full-grown male boomer into a wild frenzy.   Wedge-tailed Eagles and other raptors usually eat kangaroo carrion. Goannas and other carnivorous reptiles also pose a danger to smaller kangaroo species when other food sources are lacking.",0.4576152,high,1744
What is the average life expectancy of a kangaroo?,What is the average life expectancy of a kangaroo?,4.6 years,4 6 years,The average life expectancy of a kangaroo is about 4 6 years.,0.24069124,high,1739
When did the first official report of kangaroo blindness take place?,When did the first official report of kangaroo blindness take place?,1994,1994,"Eye disease  is rare but not new among kangaroos.  The first official report of kangaroo blindness took place in 1994, in central New South Wales.  The following year, reports of blind kangaroos appeared in Victoria and South Australia.  By 1996, the disease had spread ""across the desert to Western Australia"".  Australian authorities were concerned that the disease could spread to other livestock and possibly humans.  Researchers at the Australian Animal Health Laboratories in Geelong detected a virus called the Wallal virus in two species of midge, believed to have been the carriers.       Veterinarians also discovered that less than three percent of kangaroos exposed to the virus developed blindness.",0.5653351,high,1753
What are vehicles that frequent isolated roads often fitted with?,What are vehicles that frequent isolated roads often fitted with?,roo bars,Information not found in context,"Vehicles that frequent isolated roads, where roadside assistance may be scarce, are often fitted with ""roo bars"" to minimise damage caused by collision. Bonnet-mounted devices, designed to scare wildlife off the road with ultrasound and other methods, have been devised and marketed.",1.1111941,low,1762
Do kangaroos eat plants?,Do kangaroos eat plants?,yes,Some other species (e.g. red kangaroos and swamp wallabies) include significant amounts of shrubs,"Different species of kangaroos eat different diets.  Eastern grey kangaroos are predominantly grazers eating a wide variety of grasses whereas some other species (e.g. red kangaroos and swamp wallabies) include significant amounts of shrubs in the diet. The smaller species of kangaroos also consume hypogeal fungi.  Many species are nocturnal  Archives URL accessed January 7, 2007.  and crepuscular,  Columbus Zoo article URL accessed January 7, 2007.  usually spending the days resting in shade and the cool evenings, nights and mornings moving about and feeding.",0.66323173,high,1740
What are some extinct predators of the kangaroo?,What are some extinct predators of the kangaroo?,"Thylacine, Marsupial Lion, Maagalania, and Wonambi","Marsupial Lion, Megalania","Kangaroos have few natural predators. The Thylacine, considered by palaeontologists to have once been a major natural predator of the kangaroo, is now extinct. Other extinct predators included the Marsupial Lion, Megalania and the Wonambi. However, with the arrival of humans in Australia at least 50,000 years ago and the introduction of the dingo about 5,000 years ago, kangaroos have had to adapt.   The mere barking of a dog can set a full-grown male boomer into a wild frenzy.   Wedge-tailed Eagles and other raptors usually eat kangaroo carrion. Goannas and other carnivorous reptiles also pose a danger to smaller kangaroo species when other food sources are lacking.",0.49006546,high,1744
Is a Kangaroo a Marsupial?,Is a Kangaroo a marsupial?,Yes,yes,"*Dawson, Terence J. 1995. Kangaroos: Biology of the Largest Marsupials. Cornell University Press, Ithaca, New York. Second printing: 1998. ISBN 0-8014-8262-3.",0.559888,high,1766
Is the kangaroo an herbivour?,Is the kangaroo an herbivour?,Yes,no,"Kangaroos have few natural predators. The Thylacine, considered by palaeontologists to have once been a major natural predator of the kangaroo, is now extinct. Other extinct predators included the Marsupial Lion, Megalania and the Wonambi. However, with the arrival of humans in Australia at least 50,000 years ago and the introduction of the dingo about 5,000 years ago, kangaroos have had to adapt.   The mere barking of a dog can set a full-grown male boomer into a wild frenzy.   Wedge-tailed Eagles and other raptors usually eat kangaroo carrion. Goannas and other carnivorous reptiles also pose a danger to smaller kangaroo species when other food sources are lacking.",0.6468822,high,1744
Are Kangaroos Shy?,Are kangaroos shy?,Yes,no,"Europeans have long regarded Kangaroos as strange animals. Early explorers described them as creatures that had heads like deer (without antlers), stood upright like men, and hopped like frogs.  Combined with the two-headed appearance of a mother kangaroo, this led many back home to dismiss them as travellers' tales for quite some time.",0.69110096,high,1735
What method of locomotion do Kangaroos Use?,Kangaroos use what method of locomotion?,hopping,hopping,"There is also a link between the hopping action and breathing: as the feet leave the ground, air is expelled from the lungs; bringing the feet forward ready for landing refills the lungs, providing further energy efficiency. Studies of kangaroos and wallabies have demonstrated that, beyond the minimum energy expenditure required to hop at all, increased speed requires very little extra effort (much less than the same speed increase in, say, a horse, dog or human), and that the extra energy is required to carry extra weight. For kangaroos, the key benefit of hopping is not speed to escape predators the top speed of a kangaroo is no higher than that of a similarly-sized quadruped, and the Australian native predators are in any case less fearsome than those of other continents but economy: in an infertile continent with highly variable weather patterns, the ability of a kangaroo to travel long distances at moderately high speed in search of food sources is crucial to survival.",0.7553858,high,1751
What is a collective noun for a kangaroo?,What is a collective noun for a kangaroo?,"a mob, troop, or court",a mob,"Kangaroo soon became adopted into standard English where it has come to mean any member of the family of kangaroos and wallabies.  Male kangaroos are called bucks, boomers, jacks, or old men; females are does, flyers, or jills, and the young ones are joeys.  Animal Bytes: Kangaroo and Wallaby URL accessed January 7, 2007.  The collective noun for kangaroos is a mob, troop, or court. Kangaroos are sometimes colloquially referred to as roos.",0.7325752,high,1726
What is a roo?,What is a roo?,a kangaroo,Information not found in context,"Vehicles that frequent isolated roads, where roadside assistance may be scarce, are often fitted with ""roo bars"" to minimise damage caused by collision. Bonnet-mounted devices, designed to scare wildlife off the road with ultrasound and other methods, have been devised and marketed.",1.1141484,low,1762
What is used to protect a vehicale from a Kangaroo?,What is used to protect a vehicale from a Kangaroo?,roo bars,its forepaws,"Along with dingos and other canids, introduced species like foxes and feral cats also pose a threat to kangaroo populations. Kangaroos and wallabies are adept swimmers, and often flee into waterways if presented with the option. If pursued into the water, a large kangaroo may use its forepaws to hold the predator underwater so as to drown it.  Canadian Museum of Nature - Kangaroo URL accessed January 6, 2007.  Another defensive tactic described by witnesses is catching the attacking dog  with the forepaws and disembowelling it with the hind legs.",0.7387842,high,1745
What method is used by Kangaroos to travel?,Kangaroos use what method to travel?,hopping,hopping,"There is also a link between the hopping action and breathing: as the feet leave the ground, air is expelled from the lungs; bringing the feet forward ready for landing refills the lungs, providing further energy efficiency. Studies of kangaroos and wallabies have demonstrated that, beyond the minimum energy expenditure required to hop at all, increased speed requires very little extra effort (much less than the same speed increase in, say, a horse, dog or human), and that the extra energy is required to carry extra weight. For kangaroos, the key benefit of hopping is not speed to escape predators the top speed of a kangaroo is no higher than that of a similarly-sized quadruped, and the Australian native predators are in any case less fearsome than those of other continents but economy: in an infertile continent with highly variable weather patterns, the ability of a kangaroo to travel long distances at moderately high speed in search of food sources is crucial to survival.",0.69247985,high,1751
Who asked a nearby local what the creatures were called?,Who asked a nearby local what the creatures were called?,Captain James Cook and naturalist Sir Joseph Banks,Information not found in context,"In any case, the gigantic penguins had disappeared by the end of the Paleogene, around 25 mya. Interestingly, their decline and disappearance coincides with the spread of the Squalodontoidea and other primitive, fish-eating toothed whales, which certainly competed with them for food, and were ultimately more successful (Baker et al. 2006). A new lineage, the Paraptenodytes which includes smaller but decidedly stout-legged forms, had already arisen in southernmost South America by that time. The early Neogene saw the emergence of yet another morphotype in the same area, the similarly-sized but more gracile Palaeospheniscinae, as well as the radiation which gave rise to the penguin biodiversity of our time.",1.1539309,low,981
What are four species that are commonly referred to as kangaroos?,What are four species that are commonly referred to as kangaroos?,"The Red Kangaroo, The Eastern Grey Kangaroo, The Western Grey Kangaroo, and The Antilopine Kangaroo",kangaroos,There are four species that are commonly referred to as kangaroos:,0.1304242,high,1728
Are kangaroos and wallabies adept swimmers?,Are kangaroos and wallabies good swimmers?,yes,adept swimmers,"Along with dingos and other canids, introduced species like foxes and feral cats also pose a threat to kangaroo populations. Kangaroos and wallabies are adept swimmers, and often flee into waterways if presented with the option. If pursued into the water, a large kangaroo may use its forepaws to hold the predator underwater so as to drown it.  Canadian Museum of Nature - Kangaroo URL accessed January 6, 2007.  Another defensive tactic described by witnesses is catching the attacking dog  with the forepaws and disembowelling it with the hind legs.",0.73770505,high,1745
Are kangaroos farmed to any extent?,Are kangaroos farmed to any extent?,No.,They are not farmed,"In general, larger kangaroos have adapted much better to changes wrought to the Australian landscape by humans and though many of their smaller cousins are endangered, they are plentiful. They are not farmed to any extent, but wild kangaroos are shot for meat, over which there is controversy.  Steve Dow: ""An industry that's under the gun"". Sydney Morning Herald online, September 26, 2007.",0.49361265,high,1722
Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,Who discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,Veterinarians,Veterinarians,"Eye disease  is rare but not new among kangaroos.  The first official report of kangaroo blindness took place in 1994, in central New South Wales.  The following year, reports of blind kangaroos appeared in Victoria and South Australia.  By 1996, the disease had spread ""across the desert to Western Australia"".  Australian authorities were concerned that the disease could spread to other livestock and possibly humans.  Researchers at the Australian Animal Health Laboratories in Geelong detected a virus called the Wallal virus in two species of midge, believed to have been the carriers.       Veterinarians also discovered that less than three percent of kangaroos exposed to the virus developed blindness.",0.46527588,high,1753
Different species of kangaroos eat what?,What do kangaroos eat?,different diets,grasses,"Different species of kangaroos eat different diets.  Eastern grey kangaroos are predominantly grazers eating a wide variety of grasses whereas some other species (e.g. red kangaroos and swamp wallabies) include significant amounts of shrubs in the diet. The smaller species of kangaroos also consume hypogeal fungi.  Many species are nocturnal  Archives URL accessed January 7, 2007.  and crepuscular,  Columbus Zoo article URL accessed January 7, 2007.  usually spending the days resting in shade and the cool evenings, nights and mornings moving about and feeding.",0.63607794,high,1740
Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?,Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?,yes,have been known to leap,"A collision with a vehicle is capable of killing a kangaroo. Kangaroos dazzled by headlights or startled by engine noise have been known to leap in front of cars.  Since kangaroos in mid-bound can reach speeds of around 50 km/h (31 mph) and are relatively heavy, the force of impact can be severe.  Small vehicles may be destroyed, while larger vehicles may suffer engine damage. The risk of harm to vehicle occupants is greatly increased if the windscreen is the point of impact.  As a result, ""kangaroo crossing"" signs are commonplace in Australia.",0.66441345,high,1761
Is a collision with a vehicle capable of killing a kangaroo ?,Is a collision with a vehicle capable of killing a kangaroo ?,yes,The force of impact can be severe.,"A collision with a vehicle is capable of killing a kangaroo. Kangaroos dazzled by headlights or startled by engine noise have been known to leap in front of cars.  Since kangaroos in mid-bound can reach speeds of around 50 km/h (31 mph) and are relatively heavy, the force of impact can be severe.  Small vehicles may be destroyed, while larger vehicles may suffer engine damage. The risk of harm to vehicle occupants is greatly increased if the windscreen is the point of impact.  As a result, ""kangaroo crossing"" signs are commonplace in Australia.",0.5334399,high,1761
Was the game of Marn grook played using a ball made from kangaroo by the Kurnai people ?,Is the game of Marn grook played by the Kurnai people?,yes,Information not found in context,"Before European settlement, the kangaroo was a very important animal for Australian Aborigines, for its meat, hide, bones and sinews. In addition, there were important Dreaming stories and ceremonies involving the kangaroo.  Aherrenge is a current kangaroo dreaming site in the Northern Territory. The game of Marn grook was played using a ball made from kangaroo  by the Kurnai people.",1.2661095,low,1754
"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?","Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance and a small head ?",yes,"kangaroos have large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance and a small head","Kangaroos have large, powerful hind legs, large feet adapted for leaping, a long muscular tail for balance, and a small head. Like all marsupials, female kangaroos have a pouch called a marsupium in which joeys complete postnatal development.",0.6149463,high,1736
"Is a kangaroo a marsupial from the family macropodidae -LRB- macropods , meaning (`` ` large foot ('' ' -RRB-?",Is a kangaroo a marsupial from the family macropodidae?,yes,yes,"A kangaroo is a marsupial from the family Macropodidae (macropods, meaning 'large foot'). In common use the term is used to describe the largest species from this family, the Red Kangaroo, the Antilopine Kangaroo, and the Eastern and Western Grey Kangaroo of the Macropus genus. The family also includes many smaller species which include the wallabies, tree-kangaroos, wallaroos, pademelons and the Quokka, some 63 living species in all.  Kangaroos are endemic to the continent of Australia, while the smaller macropods are found in Australia and New Guinea.",0.3652012,high,1721
What kinds of changes have larger kangaroos adapted much better to?,What kinds of changes have larger kangaroos adapted much better to?,Changes wrought to the Australian landscape by humans.,changes wrought to the Australian landscape,"In general, larger kangaroos have adapted much better to changes wrought to the Australian landscape by humans and though many of their smaller cousins are endangered, they are plentiful. They are not farmed to any extent, but wild kangaroos are shot for meat, over which there is controversy.  Steve Dow: ""An industry that's under the gun"". Sydney Morning Herald online, September 26, 2007.",0.689024,high,1722
Have larger kangaroos adapted much better to changes?,Have larger kangaroos adapted much better to changes?,yes,yes,"In general, larger kangaroos have adapted much better to changes wrought to the Australian landscape by humans and though many of their smaller cousins are endangered, they are plentiful. They are not farmed to any extent, but wild kangaroos are shot for meat, over which there is controversy.  Steve Dow: ""An industry that's under the gun"". Sydney Morning Herald online, September 26, 2007.",0.5879233,high,1722
Is the leopard smaller than the other members of Panthera?,Is the leopard smaller than the other members of Panthera?,yes,yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar. Leopards that are melanistic, either all-black or very dark in coloration, are known colloquially as Black Panthers.",0.46634722,high,2444
Is a leopard larger and less lanky than a cheetah?,Is a leopard larger and less lanky than a cheetah?,yes,yes,"One of many spotted cats, a leopard may be mistaken for a cheetah or a jaguar. The leopard has rosettes rather than cheetah's simple spots, but they lack internal spots, unlike the jaguar. The leopard is larger and less lanky than the cheetah but smaller than the jaguar. The leopard's black, irregular rosettes serve as camouflage. They are circular in East Africa but tend to be square in southern Africa.  .",0.7527437,high,2452
Are large pythons potential prey for leopards?,Are large pythons a good prey for leopards?,yes,Yes,"Leopards are opportunistic hunters. Although mid-sized animals are preferred, the leopard will eat anything from dung beetles to 900 kg male giant elands.  Nowell, K.; Jackson, P. eds. (1996).  Wild Cats. Status Survey and Conservation Action Plan. IUCN/SSC Cat Specialist Group. IUCN, Gland, Switzerland. (see Panthera Pardus, pp. 24 â 29.)  Their diet consists mostly of ungulates and monkeys, but rodents, reptiles, amphibians, birds and fish are also eaten. Schaller, p. 290  In fact, they hunt about 90 different species of animals. A solitary dog is a potential prey for leopards, although a pack of dogs can kill or drive off a leopard. Even large pythons are potential prey for leopards. In Africa, mid-sized antelopes provide a majority of the leopard's prey, especially impala and Thomson's gazelles. Schaller, p. 291  In Asia the leopard preys on deer such as chitals and muntjacs as well as various Asian antelopes and Ibex. Leopards have even been spotted killing and eating crocodiles.",0.66489977,high,2458
What may a leopard be mistaken for?,What may a leopard be mistaken for?,A cheetah or a jaguar,lion,Indian Leopard,0.6250446,high,2466
What is a hybrid animal resulting from a union between a leopard and a puma?,What is a hybrid animal resulting from a union between a leopard and a puma?,a pumapard,A pumapard,"A pumapard is a hybrid animal resulting from a union between a leopard and a puma. Three sets of these hybrids were bred in the late 1890s and early 1900s by Carl Hagenbeck at his animal park in Hamburg, Germany. Most did not reach adulthood. One of these was purchased in 1898 by Berlin Zoo.  A similar hybrid in Berlin Zoo purchased from Carl Hagenbeck was a cross between a male leopard and a female puma. Hamburg Zoo's specimen was the reverse pairing, the one in the black and white photo, fathered by a puma bred to an Indian leopardess. ",0.45617598,high,2484
Where do leopards often hide their kills?,Where do leopards often hide their kills?,in dense vegetation,dense vegetation,"The leopard stalks its prey silently and at the last minute pounces on its prey and strangles its throat with a quick bite. Leopards often hide their kills in dense vegetation or take them up trees,  and are capable of carrying animals up to three times their own weight this way. Storing carcasses up trees keeps them away from other predators such as spotted hyenas, jackals, tigers and lions, though the latter will occasionally be successful in climbing and fetching the leopard kills. Schaller, p. 293",0.5806272,high,2459
